step,max_change
1,1.5e-06
200,0.000198994
400,0.000198976
600,0.000193196
800,0.00018282
1000,0.000170417
1200,0.000157636
1400,0.000145252
1600,0.000133583
1800,0.000122732
2000,0.000112709
2200,0.000103478
2400,9.49917e-05
2600,8.71961e-05
2800,8.00377e-05
3000,7.34658e-05
3200,6.7433e-05
3400,6.18954e-05
3600,5.68124e-05
3800,5.21468e-05
4000,4.78643e-05
4200,4.39335e-05
4400,4.03255e-05
4600,3.70138e-05
4800,3.39741e-05
5000,3.1184e-05
5200,2.8623e-05
5400,2.62724e-05
5600,2.41148e-05
5800,2.21344e-05
6000,2.03166e-05
6200,1.86481e-05
6400,1.71166e-05
6600,1.5711e-05
6800,1.44207e-05
7000,1.32364e-05
7200,1.21494e-05
7400,1.11516e-05
7600,1.02358e-05
7800,9.3952e-06
8000,8.62362e-06
8200,7.91542e-06
8400,7.26537e-06
8600,6.66871e-06
8800,6.12104e-06
9000,5.61836e-06
9200,5.15695e-06
9400,4.73344e-06
9600,4.34471e-06
9800,3.98791e-06
10000,3.6604e-06
10200,3.35979e-06
10400,3.08387e-06
10600,2.83061e-06
10800,2.59815e-06
11000,2.38478e-06
11200,2.18893e-06
11400,2.00917e-06
11600,1.84417e-06
11800,1.69272e-06
12000,1.5537e-06
12200,1.42611e-06
12400,1.30899e-06
12600,1.20149e-06
12800,1.10282e-06
13000,1.01225e-06
13200,9.29119e-07
13400,8.52816e-07
13600,7.82779e-07
13800,7.18494e-07
14000,6.59488e-07
14200,6.05328e-07
14400,5.55616e-07
14600,5.09986e-07
14800,4.68104e-07
15000,4.29662e-07
15200,3.94376e-07
15400,3.61988e-07
15600,3.3226e-07
15800,3.04973e-07
16000,2.79928e-07
16200,2.56939e-07
16400,2.35838e-07
16600,2.1647e-07
16800,1.98693e-07
17000,1.82375e-07
17200,1.67398e-07
17400,1.5365e-07
17600,1.41032e-07
17800,1.2945e-07
18000,1.18819e-07
18200,1.09061e-07
18400,1.00104e-07
18600,9.18833e-08
18800,8.43375e-08
19000,7.74113e-08
19200,7.1054e-08
19400,6.52187e-08
19600,5.98627e-08
19800,5.49465e-08
20000,5.04341e-08
