y,lbm_ux,analytical_ux
1,6.81e-05,6.875e-05
2,0.0001981,0.00019875
3,0.0003181,0.00031875
4,0.0004281,0.00042875
5,0.0005281,0.00052875
6,0.0006181,0.00061875
7,0.0006981,0.00069875
8,0.0007681,0.00076875
9,0.0008281,0.00082875
10,0.0008781,0.00087875
11,0.0009181,0.00091875
12,0.0009481,0.00094875
13,0.0009681,0.00096875
14,0.0009781,0.00097875
15,0.0009781,0.00097875
16,0.0009681,0.00096875
17,0.0009481,0.00094875
18,0.0009181,0.00091875
19,0.0008781,0.00087875
20,0.0008281,0.00082875
21,0.0007681,0.00076875
22,0.0006981,0.00069875
23,0.0006181,0.00061875
24,0.0005281,0.00052875
25,0.0004281,0.00042875
26,0.0003181,0.00031875
27,0.0001981,0.00019875
28,6.81e-05,6.875e-05
