step,max_change
1,1.5e-06
200,0.000196535
400,0.000171223
600,0.000135339
800,0.000105429
1000,8.19721e-05
1200,6.37183e-05
1400,4.95277e-05
1600,3.84973e-05
1800,2.99235e-05
2000,2.32591e-05
2200,1.8079e-05
2400,1.40526e-05
2600,1.09229e-05
2800,8.49025e-06
3000,6.59937e-06
3200,5.12961e-06
3400,3.98718e-06
3600,3.09919e-06
3800,2.40896e-06
4000,1.87245e-06
4200,1.45543e-06
4400,1.13129e-06
4600,8.79339e-07
4800,6.83499e-07
5000,5.31275e-07
5200,4.12954e-07
5400,3.20984e-07
5600,2.49497e-07
5800,1.93931e-07
6000,1.5074e-07
6200,1.17168e-07
6400,9.10735e-08
6600,7.07903e-08
6800,5.50244e-08
7000,4.27698e-08
7200,3.32444e-08
7400,2.58405e-08
7600,2.00855e-08
7800,1.56122e-08
8000,1.21352e-08
8200,9.43252e-09
8400,7.33178e-09
8600,5.6989e-09
8800,4.42969e-09
9000,3.44314e-09
9200,2.67631e-09
9400,2.08026e-09
9600,1.61696e-09
9800,1.25684e-09
10000,9.7693e-10
10200,7.59356e-10
10400,5.90238e-10
10600,4.58785e-10
10800,3.56607e-10
11000,2.77186e-10
11200,2.15454e-10
11400,1.67469e-10
11600,1.30172e-10
11800,1.01181e-10
12000,7.8647e-11
